# Trajectories to test the save_data() function.
# Calculation scheme is force.
# Timestep is 120 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
-7.100000000000000000e+01 -7.200000000000000000e+01 -7.100000000000000000e+01 -7.200000000000000000e+01
-7.098337071511568297e+01 -7.198052835956784179e+01 -7.098144836618752151e+01 -7.197819851638823252e+01
-7.096675175304369532e+01 -7.196106589598096548e+01 -7.096290566878752770e+01 -7.195639951765184605e+01
-7.095014161509574535e+01 -7.194161112757029741e+01 -7.094436873635609686e+01 -7.193459554216507001e+01
-7.093353895103601303e+01 -7.192216256050126333e+01 -7.092583449648593330e+01 -7.191278002471746333e+01
-7.091694255598015673e+01 -7.190271869118959103e+01 -7.090729997725243550e+01 -7.189094728550399793e+01
-7.090035136737120069e+01 -7.188327800869801365e+01 -7.088876230867100503e+01 -7.186909251993409953e+01
-7.088376474711806452e+01 -7.186383899711540835e+01 -7.087021872416588053e+01 -7.184721178913036965e+01
-7.086718249363445921e+01 -7.184440013791851243e+01 -7.085166704555186357e+01 -7.182530201099143596e+01
-7.085060449813774142e+01 -7.182496010984418433e+01 -7.083310521935003123e+01 -7.180336095169647592e+01
-7.083403074134156441e+01 -7.180551765982875168e+01 -7.081453114652829584e+01 -7.178138881423706152e+01
-7.081746129021706793e+01 -7.178607154168270199e+01 -7.079594268697361770e+01 -7.175938626400974840e+01
-7.080089629479198265e+01 -7.176662051650130536e+01 -7.077733766388006131e+01 -7.173735397743337217e+01
-7.078433585177045018e+01 -7.174716335309895499e+01 -7.075871386807027363e+01 -7.171529397421321050e+01
-7.076778009659444990e+01 -7.172769880754550798e+01 -7.074006869165488354e+01 -7.169320892428538627e+01
-7.075122920915320890e+01 -7.170822553942532807e+01 -7.072139890416556796e+01 -7.167110106855020035e+01
-7.073468341035011520e+01 -7.168874220315332479e+01 -7.070270127458252318e+01 -7.164897222306784386e+01
-7.071814306561202557e+01 -7.166924744298741246e+01 -7.068397287360123471e+01 -7.162682378314934795e+01
-7.070160840746186182e+01 -7.164973992941227721e+01 -7.066521106812984954e+01 -7.160465622847962663e+01
-7.068507944518236741e+01 -7.163021835856466168e+01 -7.064641351607390618e+01 -7.158246932157078390e+01
-7.066855618038836440e+01 -7.161068145164327348e+01 -7.062757842692118970e+01 -7.156026238347170931e+01
-7.065203860579283912e+01 -7.159112795432655219e+01 -7.060870488482950691e+01 -7.153803429815076242e+01
-7.063552670400375177e+01 -7.157155663619788299e+01 -7.058979213773618255e+01 -7.151578351677024159e+01
-7.061902044632036279e+01 -7.155196634203157657e+01 -7.057083959410103091e+01 -7.149350806188202512e+01
-7.060251930567817169e+01 -7.153235606406786928e+01 -7.055184681967972438e+01 -7.147120526635295334e+01
-7.058602264001022775e+01 -7.151272482335370739e+01 -7.053281353433332868e+01 -7.144887183098087746e+01
