# Calculation scheme is friction.
# Timestep is 100 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between 41, -72 and 42, -71.
4.100000000000000000e+01 4.100000000000000000e+01 4.200000000000000000e+01 4.200000000000000000e+01
4.096237012507924646e+01 4.097122783949088642e+01 4.196663378098592290e+01 4.197458357700277531e+01
4.092473977891611270e+01 4.094245535210023945e+01 4.193326697886308096e+01 4.194916487164121577e+01
4.088710860053267027e+01 4.091368227173899186e+01 4.189989909985578720e+01 4.192374191992207955e+01
4.084947628774797579e+01 4.088490832089312477e+01 4.186652967648323198e+01 4.189831298869630416e+01
4.081184259613179677e+01 4.085613321082332305e+01 4.183315826848484420e+01 4.187287657588736067e+01
4.077420733796284935e+01 4.082735664176624368e+01 4.179978446375502443e+01 4.184743141085690610e+01
4.073657038119061724e+01 4.079857830313749645e+01 4.176640787928729281e+01 4.182197645488845694e+01
4.069893166836143905e+01 4.076979787373610975e+01 4.173302816212785871e+01 4.179651090176987793e+01
4.066129120934651553e+01 4.074101502195077273e+01 4.169964504452996579e+01 4.177103417845570732e+01
4.062364903466119159e+01 4.071222939964759036e+01 4.166625822642097177e+01 4.174554594579079492e+01
4.058600519472926038e+01 4.068344064147208172e+01 4.163286728623311461e+01 4.172004621366099286e+01
4.054835975920836688e+01 4.065464838288053073e+01 4.159947168168860543e+01 4.169453571431741068e+01
4.051071281631146093e+01 4.062585226030549279e+01 4.156607075051831401e+01 4.166901532750744508e+01
4.047306447212405800e+01 4.059705191143451941e+01 4.153266371116369982e+01 4.164348608037334998e+01
4.043541485175009598e+01 4.056824697548970704e+01 4.149924966346113564e+01 4.161794905235565523e+01
4.039776405465605080e+01 4.053943709350801328e+01 4.146582758944380487e+01 4.159240503678543632e+01
4.036011214688058146e+01 4.051062184764622742e+01 4.143239641531814499e+01 4.156685467492444275e+01
4.032245916119536133e+01 4.048180078282081240e+01 4.139895535742848409e+01 4.154129845661653064e+01
4.028480509724743541e+01 4.045297359490053424e+01 4.136550373030278394e+01 4.151573672065320864e+01
4.024715000730814296e+01 4.042414008635031308e+01 4.133204089136533099e+01 4.149016965517260758e+01
4.020949396848043023e+01 4.039530008707070152e+01 4.129856624044554536e+01 4.146459695802546719e+01
4.017183708581644197e+01 4.036645345433599630e+01 4.126507921936099876e+01 4.143901776404045734e+01
4.013417946350367771e+01 4.033760007271222747e+01 4.123157931150023359e+01 4.141343124692685507e+01
4.009652120515474394e+01 4.030873985397720816e+01 4.119806637836843777e+01 4.138783661857324603e+01
4.005886241418634341e+01 4.027987273704249560e+01 4.116454056208938539e+01 4.136223312827831933e+01
4.002120319419596939e+01 4.025099868787719259e+01 4.113100199867618301e+01 4.133662006198928651e+01
3.998354364933615557e+01 4.022211769943337600e+01 4.109745081717098714e+01 4.131099674154869916e+01
3.994588395394925584e+01 4.019322971132759648e+01 4.106388713876860663e+01 4.128536252395054618e+01
3.990822432328457836e+01 4.016433467564010584e+01 4.103031107593128723e+01 4.125971665730568816e+01
3.987056490470404668e+01 4.013543255959082501e+01 4.099672273149483459e+01 4.123405833434257772e+01
3.983290577811001754e+01 4.010652334550390918e+01 4.096312220409771498e+01 4.120838661607921694e+01
3.979524695635161180e+01 4.007760699140150251e+01 4.092950965271357688e+01 4.118270055147645081e+01
3.975758838562693143e+01 4.004868330632798035e+01 4.089588524870737984e+01 4.115699927053259444e+01
3.971992994588099180e+01 4.001975208738463152e+01 4.086224929337981848e+01 4.113128198454140261e+01
3.968227174337597774e+01 3.999081311968698316e+01 4.082860210337202034e+01 4.110554798644982810e+01
3.964461392552144048e+01 3.996186617106179284e+01 4.079494399840753260e+01 4.107979665122761048e+01
3.960695661104760035e+01 3.993291102438514173e+01 4.076127530039545377e+01 4.105402743624787121e+01
3.956929996014954298e+01 3.990394750896773246e+01 4.072759633253870248e+01 4.102823988167825320e+01
3.953164415789136399e+01 3.987497550041096872e+01 4.069390723559310885e+01 4.100243361088162430e+01
3.949398939279841159e+01 3.984599492046791624e+01 4.066020805303369912e+01 4.097660833082586151e+01
3.945633585896911910e+01 3.981700573690314116e+01 4.062649882148885183e+01 4.095076370800347121e+01
3.941868373380810908e+01 3.978800796335134748e+01 4.059277957001388160e+01 4.092489935536661250e+01
3.938103314556187939e+01 3.975900165917421702e+01 4.055905031936854499e+01 4.089901480254290789e+01
3.934338417354876327e+01 3.972998692931533071e+01 4.052531108129202408e+01 4.087310958893436919e+01
3.930573684819174929e+01 3.970096394211621060e+01 4.049156185777523120e+01 4.084718326363852725e+01
3.926809115105098869e+01 3.967193289386432298e+01 4.045780260265627248e+01 4.082123538544684749e+01
3.923044701485594743e+01 3.964289398762571182e+01 4.042403312502464274e+01 4.079526552284351482e+01
3.919280427950164380e+01 3.961384727192749011e+01 4.039025318931887654e+01 4.076927325400444602e+01
3.915516272661851360e+01 3.958479277407387542e+01 4.035646248383609702e+01 4.074325816679647261e+01
3.911752213031486747e+01 3.955573050007775038e+01 4.032266062819993380e+01 4.071721987006631593e+01
3.907988225701182472e+01 3.952666043463209888e+01 4.028884723798454104e+01 4.069115801999285509e+01
3.904224286529086640e+01 3.949758254108083833e+01 4.025502192482679220e+01 4.066507229146957769e+01
3.900460370574160862e+01 3.946849674427841848e+01 4.022118429664654826e+01 4.063896237831936986e+01
3.896696452080961848e+01 3.943940279512777636e+01 4.018733387853806960e+01 4.061282799354844997e+01
3.892932528872189835e+01 3.941030049005522784e+01 4.015347018636609278e+01 4.058666892397202730e+01
3.889168612380402124e+01 3.938118967063557818e+01 4.011959274167992362e+01 4.056048513980042713e+01
3.885404720867991557e+01 3.935207022316403425e+01 4.008570107234770319e+01 4.053427661806922799e+01
3.881640873257747870e+01 3.932294207822925358e+01 4.005179471321598328e+01 4.050804334189510314e+01
3.877877089124017829e+01 3.929380521028750906e+01 4.001787320677672710e+01 4.048178529980852147e+01
3.874113388690270909e+01 3.926465963723776298e+01 3.998393610384181329e+01 4.045550254052784567e+01
3.870349788000134339e+01 3.923550541999765073e+01 3.994998299182346102e+01 4.042919510914485670e+01
3.866586287315626436e+01 3.920634250796430820e+01 3.991601345101485521e+01 4.040286301666014879e+01
3.862822886326938487e+01 3.917717058825293464e+01 3.988202700708340842e+01 4.037650623993300769e+01
3.859059584116172914e+01 3.914798933310122209e+01 3.984802311500740046e+01 4.035012472161275099e+01
3.855296379111405258e+01 3.911879839968481321e+01 3.981400114609087382e+01 4.032371837006535031e+01
3.851533269040830731e+01 3.908959742996153608e+01 3.977996051263606603e+01 4.029728705929522903e+01
3.847770250886993892e+01 3.906038605051762858e+01 3.974590066840511327e+01 4.027083062886215714e+01
3.844007321894565621e+01 3.903116387241595220e+01 3.971182115802255908e+01 4.024434893125389578e+01
3.840244481130111609e+01 3.900193049104619547e+01 3.967772191471481591e+01 4.021784187032247360e+01
3.836481729236745508e+01 3.897268548597695315e+01 3.964360289594494446e+01 4.019130932059857031e+01
3.832719068400331253e+01 3.894342859994049633e+01 3.960946408378296013e+01 4.016475116145090141e+01
3.828956502319910271e+01 3.891415960050697720e+01 3.957530548530045422e+01 4.013816727744084289e+01
3.825194036178135093e+01 3.888487826826685989e+01 3.954112713297173087e+01 4.011155755871637751e+01
3.821431687437329572e+01 3.885558439670312936e+01 3.950692908508158041e+01 4.008492190140616884e+01
3.817669506278953406e+01 3.882627779206435292e+01 3.947271142613943340e+01 4.005826020801367804e+01
3.813907541178205918e+01 3.879695827323944712e+01 3.943847417231905439e+01 4.003157238781144400e+01
3.810145837193629603e+01 3.876762572081621272e+01 3.940421729298634546e+01 4.000485835723548433e+01
3.806384435858448256e+01 3.873828004853132256e+01 3.936994072965257629e+01 3.997811804027979576e+01
3.802623375070896117e+01 3.870892111306727656e+01 3.933564439081123965e+01 3.995135125921508745e+01
3.798862688984681313e+01 3.867954868972143601e+01 3.930132820874349164e+01 3.992455775617238345e+01
3.795102410397853276e+01 3.865016253906248522e+01 3.926699218043086148e+01 3.989773698892525289e+01
3.791342576937125841e+01 3.862076240685900075e+01 3.923263636848524527e+01 3.987088842928505272e+01
3.787583226779303658e+01 3.859134802399192665e+01 3.919826089773313527e+01 3.984401158487365535e+01
3.783824398579557169e+01 3.856191910636958653e+01 3.916386592886491513e+01 3.981710600004662837e+01
3.780066131394349327e+01 3.853247535484514685e+01 3.912945165470602404e+01 3.979017125683868983e+01
3.776308464604436210e+01 3.850301645513668092e+01 3.909501830074788842e+01 3.976320697591930298e+01
3.772551437837954325e+01 3.847354207774973389e+01 3.906056612565941322e+01 3.973621281755858092e+01
3.768795112314207074e+01 3.844405197430793919e+01 3.902609542179629187e+01 3.970918855190210905e+01
3.765039563591415828e+01 3.841454592107265853e+01 3.899160651570800695e+01 3.968213403463222022e+01
3.761284870702732519e+01 3.838502370868919655e+01 3.895709981213072837e+01 3.965504913366800821e+01
3.757531112994004019e+01 3.835548518231552606e+01 3.892257586897321175e+01 3.962793372949411719e+01
3.753778354731135636e+01 3.832593031789497218e+01 3.888803525163306318e+01 3.960078771547507870e+01
3.750026655389503105e+01 3.829635910379681718e+01 3.885347852737599084e+01 3.957361080930404995e+01
3.746276069556324728e+01 3.826677154020362792e+01 3.881890614612046875e+01 3.954640263836768099e+01
3.742526662181076347e+01 3.823716763864199208e+01 3.878431858478869998e+01 3.951916281106522888e+01
3.738778502345390109e+01 3.820754755969144156e+01 3.874971634715079460e+01 3.949189091708273480e+01
3.735031663312649641e+01 3.817791163135100874e+01 3.871509996210299676e+01 3.946458648503359257e+01
3.731286222622516391e+01 3.814826015882143651e+01 3.868046978603061348e+01 3.943724897252666040e+01
3.727542262184503130e+01 3.811859342442838994e+01 3.864582622351498031e+01 3.940987789399846264e+01
3.723799868370829813e+01 3.808891168747903322e+01 3.861116972707833384e+01 3.938247282145562878e+01
3.720059132624705711e+01 3.805921518412203142e+01 3.857650079669773646e+01 3.935503338519585270e+01
3.716320153489171929e+01 3.802950412721101259e+01 3.854181997931209480e+01 3.932755927453812461e+01
3.712583036398851277e+01 3.799977870617151865e+01 3.850712786832227152e+01 3.930005023856160307e+01
3.708847893863300271e+01 3.797003908891290536e+01 3.847242510308413443e+01 3.927250608685288569e+01
3.705114845618026465e+01 3.794028575895615774e+01 3.843771199863438426e+01 3.924492668230870152e+01
3.701384018774583495e+01 3.791051929772451956e+01 3.840298876514768978e+01 3.921731184664822933e+01
3.697655547969725376e+01 3.788074025963182123e+01 3.836825556363769607e+01 3.918966129350371830e+01
