# Trajectories to test the save_data() function.
# Calculation scheme is force.
# Timestep is 100 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between41, -72 and 42, -71.
-7.100000000000000000e+01 -7.200000000000000000e+01 -7.100000000000000000e+01 -7.200000000000000000e+01
-7.098614218391895747e+01 -7.198377357264659793e+01 -7.098454023299019866e+01 -7.198183204186906892e+01
-7.097229171893867772e+01 -7.196755368780559081e+01 -7.096908704453187511e+01 -7.196366673464441988e+01
-7.095844771632886250e+01 -7.195133949018324415e+01 -7.095363858547837310e+01 -7.194549963098216949e+01
-7.094460935941613400e+01 -7.193513011823803538e+01 -7.093819305419658861e+01 -7.192732671754643548e+01
-7.093077590232502416e+01 -7.191892470515445268e+01 -7.092274869714555052e+01 -7.190914441043237559e+01
-7.091694666874573727e+01 -7.190272237981045578e+01 -7.090730380945878153e+01 -7.189094955088559402e+01
-7.090312105072706572e+01 -7.188652226773866971e+01 -7.089185673553032530e+01 -7.187273940128108052e+01
-7.088929863502832518e+01 -7.187032349208168114e+01 -7.087640586960468170e+01 -7.185451164132585689e+01
-7.087547929132934144e+01 -7.185412517454157921e+01 -7.086094985187341422e+01 -7.183626436445057095e+01
-7.086166293458994403e+01 -7.183792648302568296e+01 -7.084548750596168532e+01 -7.181799607435551991e+01
-7.084784952370206668e+01 -7.182172669041683832e+01 -7.083001763251033367e+01 -7.179970590596083468e+01
-7.083403906017937857e+01 -7.180552507281758778e+01 -7.081453901100522330e+01 -7.178139423942317876e+01
-7.082023158685998965e+01 -7.178932090966677038e+01 -7.079905040156035056e+01 -7.176306145983966189e+01
-7.080642718662187463e+01 -7.177311348391680212e+01 -7.078355054667824220e+01 -7.174470795754255903e+01
-7.079262592375498286e+01 -7.175690208220831323e+01 -7.076803817298807076e+01 -7.172633452789003172e+01
-7.077882786532285309e+01 -7.174068599504236943e+01 -7.075251198443282874e+01 -7.170794281967141615e+01
