# Calculation scheme is friction.
# Timestep is 120 seconds.
# Trajectories calculated for a 5 x 5 grid of parcels between 41, -72 and 42, -71.
-7.100000000000000000e+01 -7.200000000000000000e+01 -7.100000000000000000e+01 -7.200000000000000000e+01
-7.098337073157145483e+01 -7.198052837889024147e+01 -7.098144838452157046e+01 -7.197819853799232703e+01
-7.096675188350792496e+01 -7.196106599894214639e+01 -7.096290581231258443e+01 -7.195640001152803222e+01
-7.095014202368726330e+01 -7.194161142750436966e+01 -7.094436919606006597e+01 -7.193459733656800381e+01
-7.093353985415043894e+01 -7.192216322374707715e+01 -7.092583554272903257e+01 -7.191278427328178680e+01
-7.091694420824121892e+01 -7.190271994103832753e+01 -7.090730195463805785e+01 -7.189095541426885916e+01
-7.090035404782281603e+01 -7.188328012929960664e+01 -7.088876563054202506e+01 -7.186910617356727471e+01
-7.088376874299414965e+01 -7.186384233734135307e+01 -7.087022386672228436e+01 -7.184723277632821237e+01
-7.086718809028216981e+01 -7.184440511517918537e+01 -7.085167453332505261e+01 -7.182533224903848179e+01
-7.085061197431225821e+01 -7.182496721922582594e+01 -7.083311565283720768e+01 -7.180340241017705694e+01
-7.083404036464199294e+01 -7.180552747674862246e+01 -7.081454523749884800e+01 -7.178144335977567891e+01
-7.081747331266741696e+01 -7.178608472240696869e+01 -7.079596129359721601e+01 -7.175945558963151427e+01
-7.080091094857107237e+01 -7.176663779856670544e+01 -7.077736182568304457e+01 -7.173743956018887502e+01
-7.078435334521135758e+01 -7.174718555563804046e+01 -7.075874484072804194e+01 -7.171539709119119266e+01
-7.076780062386519887e+01 -7.172772683518890346e+01 -7.074010797140944362e+01 -7.169333073192761674e+01
-7.075125296026186561e+01 -7.170826040204478602e+01 -7.072144818580221681e+01 -7.167124263971274445e+01
-7.073471058103686460e+01 -7.168878498539997679e+01 -7.070276240375761745e+01 -7.164913458424148018e+01
-7.071817384606360690e+01 -7.166929927292444802e+01 -7.068404783967552873e+01 -7.162700795182242075e+01
-7.070164297248987850e+01 -7.164980197167642473e+01 -7.066530199690534175e+01 -7.160486336989623624e+01
-7.068511794789576186e+01 -7.163029180753190417e+01 -7.064652266243878387e+01 -7.158270081516748462e+01
-7.066859875229006605e+01 -7.161076752459835859e+01 -7.062770813282732263e+01 -7.156051980690027392e+01
-7.065208535673492918e+01 -7.159122788463567133e+01 -7.060885747734975837e+01 -7.153831941186780341e+01
-7.063557772200255158e+01 -7.157167166648429202e+01 -7.058996993315440704e+01 -7.151609824919280811e+01
-7.061907579723335004e+01 -7.155209772470193741e+01 -7.057104490216218551e+01 -7.149385449510442925e+01
-7.060257899724858532e+01 -7.153250507058096730e+01 -7.055208194800709975e+01 -7.147158564799070746e+01
-7.058608663576828235e+01 -7.151289274073725721e+01 -7.053308079301976363e+01 -7.144928858551557482e+01
-7.056959800675153360e+01 -7.149325979789574603e+01 -7.051404135177179455e+01 -7.142696121062159875e+01
-7.055311238424388876e+01 -7.147360533988356224e+01 -7.049496404941359629e+01 -7.140460221713917122e+01
-7.053662902221046238e+01 -7.145392850636579851e+01 -7.047584943041867689e+01 -7.138221031901700542e+01
-7.052014709289942118e+01 -7.143422846373913160e+01 -7.045669824081811328e+01 -7.135978424969239597e+01
-7.050366561931120657e+01 -7.141450441234643165e+01 -7.043751119463547639e+01 -7.133732276158333718e+01
-7.048718359442540304e+01 -7.139475565770241872e+01 -7.041828897154960032e+01 -7.131482462558449242e+01
-7.047069979165934228e+01 -7.137498155240575670e+01 -7.039903221464767569e+01 -7.129228863056712839e+01
-7.045421289476098536e+01 -7.135518149416134293e+01 -7.037974168356662119e+01 -7.126971358288290048e+01
-7.043772155119596334e+01 -7.133535492382550558e+01 -7.036041812677811436e+01 -7.124709824208727582e+01
-7.042122437742278862e+01 -7.131550132346646365e+01 -7.034106226182611010e+01 -7.122444130096893389e+01
-7.040471997329173348e+01 -7.129562021443960873e+01 -7.032167477451464777e+01 -7.120174137322581487e+01
-7.038820692526562084e+01 -7.127571115547672775e+01 -7.030225631811164533e+01 -7.117899714183779736e+01
-7.037168380902991771e+01 -7.125577370413279255e+01 -7.028280751256718872e+01 -7.115620735869389080e+01
-7.035514919205570550e+01 -7.123580741615749901e+01 -7.026332866113885700e+01 -7.113337084434307656e+01
-7.033860172635202446e+01 -7.121581193220767148e+01 -7.024381990566610057e+01 -7.111048648776075254e+01
-7.032204030995912092e+01 -7.119578693140890380e+01 -7.022428125793349807e+01 -7.108755324613002813e+01
-7.030546383961727486e+01 -7.117573209812501034e+01 -7.020471246510508934e+01 -7.106457024697870395e+01
-7.028887121082361489e+01 -7.115564712166499817e+01 -7.018511317887529799e+01 -7.104153685944815777e+01
-7.027226131789740293e+01 -7.113553169600123738e+01 -7.016548295822499881e+01 -7.101845252988843527e+01
-7.025563305404541836e+01 -7.111538567335546190e+01 -7.014582103948924896e+01 -7.099531677899763338e+01
-7.023898555879952710e+01 -7.109520894330979957e+01 -7.012612640345311377e+01 -7.097212922574900063e+01
-7.022231804633533159e+01 -7.107500137563260978e+01 -7.010639798319890303e+01 -7.094888966409553177e+01
-7.020562974616575502e+01 -7.105476282147063216e+01 -7.008663466709532486e+01 -7.092559795343116491e+01
-7.018891992468940089e+01 -7.103449311453643134e+01 -7.006683530179917341e+01 -7.090225401623625601e+01
-7.017218788612692038e+01 -7.101419207230536301e+01 -7.004699869523120981e+01 -7.087885779425464250e+01
-7.015543305721230638e+01 -7.099385949722191924e+01 -7.002712350349035830e+01 -7.085540920610321791e+01
-7.013865525845972115e+01 -7.097349516118975998e+01 -7.000720819332748590e+01 -7.083190819422753748e+01
-7.012185437115196862e+01 -7.095309875429045121e+01 -6.998725123249109004e+01 -7.080835472177180634e+01
-7.010503033869126455e+01 -7.093266993640763474e+01 -6.996725103616731190e+01 -7.078474876941258742e+01
-7.008818316790609515e+01 -7.091220833923755151e+01 -6.994720599246049630e+01 -7.076109033218430966e+01
-7.007131293036805175e+01 -7.089171356831411686e+01 -6.992711449520946587e+01 -7.073737941629669024e+01
-7.005441999508110484e+01 -7.087118520503054242e+01 -6.990697491580741030e+01 -7.071361601639638650e+01
-7.003750491356164787e+01 -7.085062280865749074e+01 -6.988678557020855919e+01 -7.068980004209397805e+01
-7.002056830090893413e+01 -7.083002595865347928e+01 -6.986654480692430980e+01 -7.066593133170347585e+01
-7.000361083676898488e+01 -7.080939425142001653e+01 -6.984625100835781097e+01 -7.064200970300306892e+01
-6.998663326631873360e+01 -7.078872724437700015e+01 -6.982590259215274386e+01 -7.061803495170993017e+01
-6.996963639181053907e+01 -7.076802445697646249e+01 -6.980549801254602471e+01 -7.059400684996866460e+01
-6.995262091454763720e+01 -7.074728537170980758e+01 -6.978503582545314998e+01 -7.056992514482756462e+01
-6.993558757504524692e+01 -7.072650941644096179e+01 -6.976451496789884743e+01 -7.054578955670267248e+01
-6.991853715217666831e+01 -7.070569587235974041e+01 -6.974393444673809483e+01 -7.052159977782984868e+01
-6.990147046224578276e+01 -7.068484404612001981e+01 -6.972329339691368943e+01 -7.049735529000886913e+01
-6.988438835807993144e+01 -7.066395332792502870e+01 -6.970259113844214482e+01 -7.047305541889356562e+01
-6.986729144588919382e+01 -7.064302312456383959e+01 -6.968182702722143063e+01 -7.044869918221445459e+01
-6.985018012756161454e+01 -7.062205286198225451e+01 -6.966100049497130442e+01 -7.042428556519388394e+01
-6.983305479114888215e+01 -7.060104198783952256e+01 -6.964011142551318301e+01 -7.039981352135752957e+01
-6.981591581179017680e+01 -7.057998997406905062e+01 -6.961915974074643998e+01 -7.037528197348227366e+01
-6.979876355262845777e+01 -7.055889631944336315e+01 -6.959814539851868176e+01 -7.035068981452818093e+01
-6.978159834341569479e+01 -7.053776054883965685e+01 -6.957706839046902303e+01 -7.032603590855467246e+01
-6.976441997784019122e+01 -7.051658219930543225e+01 -6.955592873986414304e+01 -7.030131908650592720e+01
-6.974722818123633772e+01 -7.049536082515878377e+01 -6.953472651721496334e+01 -7.027653813450581310e+01
-6.973002258721632529e+01 -7.047409601730561235e+01 -6.951346233431721089e+01 -7.025169179310050538e+01
-6.971280267056677360e+01 -7.045278746667105452e+01 -6.949213688089501773e+01 -7.022677875676738779e+01
-6.969556785818591038e+01 -7.043143490891364422e+01 -6.947075097650929365e+01 -7.020179755697144230e+01
-6.967831753921940674e+01 -7.041003812492152747e+01 -6.944930553395218453e+01 -7.017674672070359065e+01
-6.966105105839382361e+01 -7.038859694777885068e+01 -6.942780143986263397e+01 -7.015162478274619673e+01
-6.964376769878769835e+01 -7.036711126987430021e+01 -6.940623955419853530e+01 -7.012643034866904657e+01
-6.962646667755873864e+01 -7.034558100646410139e+01 -6.938462096805029944e+01 -7.010116222783287299e+01
-6.960914714158494121e+01 -7.032400609802589031e+01 -6.936294677773101114e+01 -7.007581925164008396e+01
-6.959180816311081230e+01 -7.030238651252722093e+01 -6.934121808583579138e+01 -7.005040027372334066e+01
-6.957444929059020922e+01 -7.028072224769658760e+01 -6.931943600214604828e+01 -7.002490417009934731e+01
-6.955707008130178792e+01 -7.025901333329694864e+01 -6.929760164454569349e+01 -6.999932983932266950e+01
-6.953967005991967198e+01 -7.023725977225304007e+01 -6.927571613994929578e+01 -6.997367620806868160e+01
-6.952224871462099998e+01 -7.021546143819348629e+01 -6.925378090329122927e+01 -6.994794245341378769e+01
-6.950480549316895917e+01 -7.019361831476196301e+01 -6.923179733301932970e+01 -6.992212811853444521e+01
-6.948733989462253646e+01 -7.017173038418459896e+01 -6.920976655241059916e+01 -6.989623299129249290e+01
-6.946985155188274064e+01 -7.014979762545233655e+01 -6.918768954151771311e+01 -6.987025695376907208e+01
-6.945233996276721200e+01 -7.012781988679353162e+01 -6.916556672314607113e+01 -6.984420000145794916e+01
-6.943480457068648093e+01 -7.010579701011513976e+01 -6.914339839818698863e+01 -6.981806220966140586e+01
-6.941724476521144993e+01 -7.008372879621224172e+01 -6.912118443083132036e+01 -6.979184373015294796e+01
-6.939965988301801758e+01 -7.006161487491623063e+01 -6.909892465324375621e+01 -6.976554478858692221e+01
-6.938204901559797122e+01 -7.003945485608291222e+01 -6.907661886801400897e+01 -6.973916569907829910e+01
-6.936441117032322268e+01 -7.001724832978827351e+01 -6.905426684943051896e+01 -6.971270689529923459e+01
-6.934674533585258871e+01 -6.999499486637010648e+01 -6.903186834473872580e+01 -6.968616879476684289e+01
-6.932905048124700897e+01 -6.997269401894466512e+01 -6.900942306830692985e+01 -6.965955185509022840e+01
-6.931132555509381632e+01 -6.995034530241004234e+01 -6.898693014635783527e+01 -6.963285657149340580e+01
-6.929356951012812260e+01 -6.992794817472938007e+01 -6.896438859831860668e+01 -6.960608347441292665e+01
-6.927578146406288795e+01 -6.990550207311777342e+01 -6.894179737878991432e+01 -6.957923312709311858e+01
-6.925796054735734231e+01 -6.988300638228038508e+01 -6.891915547217752192e+01 -6.955230612317916439e+01
-6.924010590424887823e+01 -6.986046043557010421e+01 -6.889646189136865928e+01 -6.952530312925581768e+01
-6.922221669735537830e+01 -6.983786351602188347e+01 -6.887371565933963780e+01 -6.949822482884194130e+01
-6.920429211661701174e+01 -6.981521485738063859e+01 -6.885091546798626894e+01 -6.947107188813667733e+01
-6.918633168150901724e+01 -6.979251364512228406e+01 -6.882806006001450783e+01 -6.944384477140367551e+01
-6.916833523407807149e+01 -6.976975913570716159e+01 -6.880514822577052314e+01 -6.941654390664112384e+01
-6.915030260752040192e+01 -6.974695092302570743e+01 -6.878217880007966301e+01 -6.938916968294117282e+01
-6.913223362859862675e+01 -6.972408856434533675e+01 -6.875915065908434087e+01 -6.936172244808840048e+01
-6.911412811998012273e+01 -6.970117155056951219e+01 -6.873606272307459619e+01 -6.933420257565997247e+01
-6.909598590256214834e+01 -6.967819935983612822e+01 -6.871291404498539634e+01 -6.930661049952117025e+01
-6.907780728424435779e+01 -6.965517145619649853e+01 -6.868970370156233685e+01 -6.927894660155969575e+01
-6.905959268561325359e+01 -6.963208728848158557e+01 -6.866643075835261811e+01 -6.925121121372825428e+01
-6.904134252974841957e+01 -6.960894637686220676e+01 -6.864309426792306112e+01 -6.922340462008276063e+01
-6.902305724735309411e+01 -6.958574843814110977e+01 -6.861969326812214831e+01 -6.919552667938246771e+01
-6.900473728184553579e+01 -6.956249315674138245e+01 -6.859622674069058235e+01 -6.916757712999053354e+01
-6.898638308438222566e+01 -6.953918018519345878e+01 -6.857269341006536933e+01 -6.913955557560930743e+01
-6.896799499276195888e+01 -6.951580914451407978e+01 -6.854909192949756402e+01 -6.911146130788885955e+01
-6.894957333952784495e+01 -6.949237962456994921e+01 -6.852542088061542813e+01 -6.908329360705714350e+01
-6.893111846574373658e+01 -6.946889116821661503e+01 -6.850167877262559557e+01 -6.905505174303512206e+01
